date,Washington,California,Florida,Illinois,Louisiana,China,Italy,Iran,Spain,Germany
22-Jan,0,0,0,0,0,8765,0,0,0,5
1/23/2020,-1,0,0,0,0,15805.72044,0,0,0,19.91484338
1/24/2020,-1,0,0,0,0,23769.76623,0,0,0,19.36609649
1/25/2020,-1,5,0,19,0,32051.06603,32.60869565,0,0,23.0404106
1/26/2020,-1,4.914843376,0,18.6593735,0,39837.85198,32.05332636,0,10.86956522,31.09591032
1/27/2020,0,4.621566364,0,18.48626546,0,49993.08773,30.1406502,0,10.68444212,33.52998855
1/28/2020,0,19.1757115,0,16.70284601,0,58730.50762,27.23290111,0,10.0468834,34.66608916
29-Jan,0,18.39846256,0,14.61572973,0,68789.70027,23.82999413,0,9.077633703,39.10656138
1/30/2020,0,16.98163723,0,12.46775255,0,80748.3032,20.32785743,0,7.943331376,35.21919136
1/31/2020,0,14.50872165,0,9.796511441,0,90630.29265,15.11880299,0,6.775952476,30.25365444
2/1/2020,0,12.58183208,0,8.043123987,0,96313.10617,12.40025254,0,5.039600997,29.66096046
2/2/2020,0,10.65813381,0,6.513895419,0,101744.3183,10.03402569,0,4.133417514,29.99106339
2/3/2020,0,6.988217596,0,5.215139916,0,101972.8827,8.027562486,0,3.34467523,25.47558548
2/4/2020,0,5.685193636,0,4.13469391,0,103003.6398,6.360455903,0,13.54541938,20.50217988
5-Feb,0,9.569131226,0,3.250613097,0,100768.2772,4.997731366,0,12.80459409,17.18876708
2/6/2020,0,8.549275356,0,2.536941797,0,96135.93695,3.898612752,0,11.71279386,24.18373441
2/7/2020,0,12.48701581,0,1.967301956,0,157472.5693,3.021946905,0,10.37717129,20.75160258
2/8/2020,0,11.33245568,0,1.516950759,0,162834.8049,2.329291333,0,8.950647011,17.38687578
2/9/2020,0,10.01781417,0,1.163813956,0,158109.9334,1.786444707,0,7.55238292,14.79931529
2/10/2020,0,8.638726648,0,0.888866951,0,148409.0915,1.363989736,0,5.635082565,12.37219914
2/11/2020,0,6.670028955,0,0.676124415,0,138262.198,1.037246208,0,4.58808076,10.1836127
12-Feb,0,5.528313538,0,0.512414064,0,127539.618,0.785901361,0,3.690423966,7.024532281
2/13/2020,0,3.891693069,0,0.38704835,0,108509.7324,0.59349005,0,2.937821282,5.599799006
2/14/2020,0,3.12090724,0,0.291464409,0,91876.66733,0.446830961,40,2.317981984,4.424594461
2/15/2020,0,12.47831647,0,0.218873219,0,80147.67638,0.335480396,99.31874701,1.814854109,3.469043363
2/16/2020,0,11.78107676,0,0.163939618,0,69917.76859,152.4251489,355.9506514,1.411364382,2.701397345
2/17/2020,0,10.76829325,0,0.122502687,0,60248.45189,823.6829367,544.4363439,1.091060933,2.090984539
2/18/2020,0,9.535722778,0,0.091338598,0,49976.08533,1379.318667,816.2551835,0.838998275,1.609846561
19-Feb,0,8.222205026,0,0.067963936,0,42645.91466,2370.721008,1125.67295,11.51169059,1.233484747
2/20/2020,0,6.936184353,0,0.050475369,0,36925.0476,3253.842508,1725.191932,54.65206842,10.94103902
2/21/2020,0,9.500148279,0,0.037420749,0,32051.80741,3884.548666,2485.42803,107.5039959,30.54481812
2/22/2020,0,8.563780635,0,0.027696654,0,27598.21458,6277.370855,4422.621971,244.2727949,159.4440382
2/23/2020,120,12.5463659,0,0.020467704,0,24541.87245,8385.926961,7007.783152,331.4240843,205.0323665
2/24/2020,197.956241,11.41195117,0,20.01510355,0,23137.12151,10337.58568,10663.08849,658.6923861,463.6274843
2/25/2020,329.5550868,55.10239925,20,39.67050348,0,20179.23692,15525.16358,17660.03005,807.0955473,531.2661844
26-Feb,491.7777524,72.95339626,39.6593735,38.1538302,0,17302.10444,15909.50433,27001.19286,1083.315326,631.3948929
2/27/2020,700.8439822,117.9966659,38.14563896,35.19513256,0,14734.56722,21607.89507,41929.91937,1399.393377,770.1674641
2/28/2020,1272.478227,190.8078761,55.18911147,51.32299655,0,12587.37797,25972.20564,50857.71786,1811.16256,1015.439553
2/29/2020,1352.561565,218.3866015,50.97794925,46.74609809,0,10976.64475,31870.65165,58593.36316,2320.264324,1614.950653
3/1/2020,1717.043994,310.8541863,125.5697477,60.75290496,0,9241.701781,37325.3089,77882.82706,3335.118017,2887.613008
3/2/2020,1964.933292,351.2660296,177.604604,74.20359368,0,7748.544379,47049.4143,92524.41546,3679.07435,3521.953857
3/3/2020,1774.998154,348.0070705,225.3785475,67.31965956,10.86956522,6519.689759,58977.54989,98725.57511,5055.276628,3518.36579
4-Mar,4455.232025,519.7689582,248.2730729,159.3868283,10.68444212,5365.913638,72890.04889,100096.1336,11297.71254,4334.911157
3/5/2020,6146.568447,631.5779804,484.8745471,408.7624666,64.39470949,4436.19945,76712.54834,106069.4492,15373.45363,4668.162117
3/6/2020,7248.306024,793.0735266,593.7640817,530.5155907,203.8041921,3609.805204,93626.17417,112644.2866,19763.59574,5459.648526
3/7/2020,9161.412209,1016.626024,845.6784525,776.0173703,381.8581047,2964.140744,112945.5948,120333.2827,27584.23702,8754.455675
3/8/2020,8451.246858,1213.231862,1300.630901,1082.410016,810.0612952,2458.836409,129219.5147,131627.2932,38800.60063,11474.92046
3/9/2020,8927.858836,1532.610856,1988.511032,1584.115768,923.7985538,2066.575862,116731.5391,143719.6941,52340.22248,14234.46928
3/10/2020,13017.96026,2026.84003,2653.151557,1707.748455,1346.231105,1786.149749,169262.648,151599.7301,69678.20431,18127.76934
11-Mar,13996.87611,2544.838794,3668.507988,2666.069719,1897.479854,1988.800349,196595.0196,154878.9987,79601.75484,22388.27809
3/12/2020,13810.73643,2569.465151,5348.344577,2481.39765,2413.032164,1853.719968,214987.395,159484.6633,93785.97643,26007.08311
3/13/2020,18165.84293,3276.701354,7010.315753,7416.302565,3677.720658,1951.300698,237427.2565,163418.7102,112080.9107,28324.67393
3/14/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/15/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/16/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/17/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-Mar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/19/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
